lam,p_wrong,p_eff,p_lock,p_early_wrong,mean_gap_burn,pwrong_early_wrong,pwrong_early_correct
0.0,0.0,0.0,0.9166666666666666,0.058333333333333334,0.1253125,0.0,0.0
0.162,0.0,0.0,0.95,0.016666666666666666,0.19875,0.0,0.0
0.325,0.0,0.9833333333333333,0.925,0.075,0.4421875,0.0,0.0
0.488,0.25833333333333336,0.7416666666666667,0.9916666666666667,0.25,0.8503124999999999,1.0,0.011111111111111112
0.65,0.13333333333333333,0.8666666666666667,1.0,0.13333333333333333,0.9598958333333333,1.0,0.0
0.812,0.26666666666666666,0.7333333333333333,1.0,0.26666666666666666,0.9873958333333335,1.0,0.0
0.975,0.35,0.65,1.0,0.35,0.9973958333333335,1.0,0.0
1.138,0.30833333333333335,0.6916666666666667,1.0,0.30833333333333335,0.9996875000000001,1.0,0.0
1.3,0.375,0.625,1.0,0.375,0.9998958333333333,1.0,0.0
